government_donor (Ocha programme + CBPFs + CERF);2017;2018;2019;2020;2021;2022;2023;2024;2025
Canada;38840000;46740000;52530000;69100000;98480000;128200000;87400000;71010000;81200000
Chine;580000;580000;580000;580000;546000;527000;501000;527000;527000
France;7180000;7810000;14840000;17720000;40820000;46750000;39050000;16620000;9650000
Allemagne;304790000;300410000;291530000;374520000;573260000;586630000;312170000;370890000;143270000
Japon;7600000;7430000;6900000;5920000;7240000;8900000;8140000;6740000;2900000
Norvège;108740000;115340000;114020000;109140000;124510000;130640000;142950000;120670000;115480000
Corée du Sud;18000000;11000000;14500000;19040000;16500000;14950000;17470000;61200000;37980000
Royaume-Uni;351980000;402610000;737220000;306700000;291730000;280580000;224630000;291160000;233130000
Etats-Unis;87810000;85210000;86360000;60200000;80000000;124210000;173960000;132590000;0
Commission Européenne ;17460000;16740000;14630000;17290000;19680000;19230000;31790000;27740000;32620000
